onset	duration	trial_type	melody_number	melody_part	key	sound	action
92.232	6.317	CUE_PLAYBACK_BOTH_HANDS	        M7	1	n/a	n/a	n/a
92.713	n/a	RESPONSE	        M7	1	07	G3	press
92.734	n/a	RESPONSE	        M7	1	22	A#4	press
93.318	n/a	RESPONSE	        M7	1	22	A#4	release
93.457	n/a	RESPONSE	        M7	1	07	G3	release
93.559	n/a	RESPONSE	        M7	1	07	G3	press
93.569	n/a	RESPONSE	        M7	1	22	A#4	press
94.22	n/a	RESPONSE	        M7	1	21	A4	press
94.332	n/a	RESPONSE	        M7	1	22	A#4	release
94.863	n/a	RESPONSE	        M7	1	19	G4	press
94.937	n/a	RESPONSE	        M7	1	21	A4	release
95.495	n/a	RESPONSE	        M7	1	05	F3	press
95.499	n/a	RESPONSE	        M7	1	21	A4	press
95.578	n/a	RESPONSE	        M7	1	19	G4	release
95.629	n/a	RESPONSE	        M7	1	07	G3	release
96.202	n/a	RESPONSE	        M7	1	14	D4	press
96.332	n/a	RESPONSE	        M7	1	21	A4	release
96.684	n/a	RESPONSE	        M7	1	14	D4	release
96.933	n/a	RESPONSE	        M7	1	14	D4	press
97.629	n/a	RESPONSE	        M7	1	19	G4	press
97.674	n/a	RESPONSE	        M7	1	05	F3	release
97.682	n/a	RESPONSE	        M7	1	03	D#3	press
97.7	n/a	RESPONSE	        M7	1	14	D4	release
98.548	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
99.215	n/a	RESPONSE	        M7	1	03	D#3	release
99.513	n/a	RESPONSE	        M7	1	19	G4	release
106.307	6.325	CUE_LISTEN	        M7	2	n/a	n/a	n/a
112.632	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
120.39	6.317	CUE_PLAYBACK_BOTH_HANDS	        M7	2	n/a	n/a	n/a
121.155	n/a	RESPONSE	        M7	2	09	A3	press
121.186	n/a	RESPONSE	        M7	2	13	C#4	press
121.57	n/a	RESPONSE	        M7	2	13	C#4	release
121.599	n/a	RESPONSE	        M7	2	09	A3	release
124.073	n/a	RESPONSE	        M7	2	09	A3	press
124.075	n/a	RESPONSE	        M7	2	17	F4	press
124.095	n/a	RESPONSE	        M7	2	13	C#4	press
124.807	n/a	RESPONSE	        M7	2	13	C#4	release
124.828	n/a	RESPONSE	        M7	2	11	B3	press
124.88	n/a	RESPONSE	        M7	2	15	D#4	press
124.9	n/a	RESPONSE	        M7	2	09	A3	release
124.992	n/a	RESPONSE	        M7	2	17	F4	release
125.324	n/a	RESPONSE	        M7	2	17	F4	press
125.414	n/a	RESPONSE	        M7	2	15	D#4	release
125.508	n/a	RESPONSE	        M7	2	13	C#4	press
125.517	n/a	RESPONSE	        M7	2	11	B3	release
125.648	n/a	RESPONSE	        M7	2	17	F4	release
125.743	n/a	RESPONSE	        M7	2	13	C#4	release
126.707	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
134.465	6.325	CUE_LISTEN	        M5	1	n/a	n/a	n/a
140.79	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
142.319	n/a	RESPONSE	        M5	1	05	F3	press
142.61	n/a	RESPONSE	        M5	1	05	F3	release
148.549	6.317	CUE_PLAYBACK_RIGHT_HAND	        M5	1	n/a	n/a	n/a
149.536	n/a	RESPONSE	        M5	1	21	A4	press
149.808	n/a	RESPONSE	        M5	1	21	A4	release
149.919	n/a	RESPONSE	        M5	1	21	A4	press
150.172	n/a	RESPONSE	        M5	1	21	A4	release
150.292	n/a	RESPONSE	        M5	1	21	A4	press
150.793	n/a	RESPONSE	        M5	1	21	A4	release
151.015	n/a	RESPONSE	        M5	1	21	A4	press
151.265	n/a	RESPONSE	        M5	1	21	A4	release
151.386	n/a	RESPONSE	        M5	1	21	A4	press
151.589	n/a	RESPONSE	        M5	1	21	A4	release
151.759	n/a	RESPONSE	        M5	1	21	A4	press
152.122	n/a	RESPONSE	        M5	1	21	A4	release
152.513	n/a	RESPONSE	        M5	1	21	A4	press
152.934	n/a	RESPONSE	        M5	1	24	C5	press
152.995	n/a	RESPONSE	        M5	1	21	A4	release
153.326	n/a	RESPONSE	        M5	1	16	E4	press
153.398	n/a	RESPONSE	        M5	1	24	C5	release
153.802	n/a	RESPONSE	        M5	1	16	E4	release
153.95	n/a	RESPONSE	        M5	1	17	F4	press
154.292	n/a	RESPONSE	        M5	1	19	G4	press
154.374	n/a	RESPONSE	        M5	1	17	F4	release
154.684	n/a	RESPONSE	        M5	1	21	A4	press
154.765	n/a	RESPONSE	        M5	1	19	G4	release
154.865	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
155.436	n/a	RESPONSE	        M5	1	21	A4	release
162.624	6.317	CUE_LISTEN	        M5	2	n/a	n/a	n/a
168.94	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
176.699	6.325	CUE_PLAYBACK_RIGHT_HAND	        M5	2	n/a	n/a	n/a
177.23	n/a	RESPONSE	        M5	2	23	B4	press
177.55	n/a	RESPONSE	        M5	2	23	B4	release
178.204	n/a	RESPONSE	        M5	2	21	A4	press
178.449	n/a	RESPONSE	        M5	2	21	A4	release
178.593	n/a	RESPONSE	        M5	2	21	A4	press
178.888	n/a	RESPONSE	        M5	2	21	A4	release
178.993	n/a	RESPONSE	        M5	2	21	A4	press
179.253	n/a	RESPONSE	        M5	2	21	A4	release
179.363	n/a	RESPONSE	        M5	2	21	A4	press
179.605	n/a	RESPONSE	        M5	2	21	A4	release
179.778	n/a	RESPONSE	        M5	2	21	A4	press
180.216	n/a	RESPONSE	        M5	2	24	C5	press
180.32	n/a	RESPONSE	        M5	2	21	A4	release
180.549	n/a	RESPONSE	        M5	2	24	C5	release
180.75	n/a	RESPONSE	        M5	2	24	C5	press
181.432	n/a	RESPONSE	        M5	2	22	A#4	press
181.504	n/a	RESPONSE	        M5	2	24	C5	release
182.345	n/a	RESPONSE	        M5	2	19	G4	press
182.626	n/a	RESPONSE	        M5	2	22	A#4	release
183.024	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
183.148	n/a	RESPONSE	        M5	2	17	F4	press
183.269	n/a	RESPONSE	        M5	2	19	G4	release
183.68	n/a	RESPONSE	        M5	2	17	F4	release
190.782	6.317	CUE_LISTEN	        M3	1	n/a	n/a	n/a
197.099	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
204.857	6.317	CUE_PLAYBACK_BOTH_HANDS	        M3	1	n/a	n/a	n/a
205.399	n/a	RESPONSE	        M3	1	00	C3	press
205.42	n/a	RESPONSE	        M3	1	12	C4	press
